Nom du commerce;Adresse;Code postal;Type de commerce;Fabriqué à Paris;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
La carte des vins;26 boulevard Beaumarchais;75011;Caviste - Brasserie;non;Livraisons à domicile;"Ouvert 7jours/7 à partir de 10h
Livraisons tous les jours aux horaires d'ouverture par téléphone.";;;01 55 28 52 38;lcdvparis@mail.com;"{""coordinates"": [2.3687797409066453, 48.85568113893725], ""type"": ""Point""}";48.85568113893725, 2.3687797409066453
Italian Cucina;9 rue de Lévis;75017;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/italian-cucina;;communication@italiancucina.com;"{""coordinates"": [2.3139618283112453, 48.8835561337583], ""type"": ""Point""}";48.8835561337583, 2.3139618283112453
Via Della Pasta;3 rue Lebon;75017;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/via-della-pasta;;via.dellapasta@wanadoo.fr;"{""coordinates"": [2.2923966033090513, 48.880589790647704], ""type"": ""Point""}";48.880589790647704, 2.2923966033090513
Aux Viandes de Montmartre;49 Rue Custine;75018;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/viandes-de-montmartre;;joseph.kowalczyk@orange.fr;"{""coordinates"": [2.3440051347881012, 48.889395550738485], ""type"": ""Point""}";48.889395550738485, 2.3440051347881012
Boucherie Taine;16 Rue Taine;75012;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/boucherie-taine;;liliangardon@hotmail.fr;"{""coordinates"": [2.3924952769057084, 48.83799315910769], ""type"": ""Point""}";48.83799315910769, 2.3924952769057084
Les Belles Envies - Monge;3 rue Monge;75005;Boulangerie - pâtisserie;non;Livraisons à domicile;Chocolat;;https://www.epicery.com/epiceries/les-belles-envies-monge;;eric.bernardino@lesbellesenvies.com;"{""coordinates"": [2.3495538596604204, 48.84949133455338], ""type"": ""Point""}";48.84949133455338, 2.3495538596604204
Orangerie du Vieux Sèvres;66 Rue de Sèvres;75007;Primeur;non;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/orangerie-du-vieux-sevres;;kopi-distribution@orange.fr;"{""coordinates"": [2.3192908130370964, 48.847911910364914], ""type"": ""Point""}";48.847911910364914, 2.3192908130370964
Perles Saint-Dominique;133 Rue Saint-Dominique;75007;Primeur;non;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/perles-saint-dominique;;perlesaintdominique@hotmail.com;"{""coordinates"": [2.3020758987752004, 48.858279279169], ""type"": ""Point""}";48.858279279169, 2.3020758987752004
Au Verger Fleuri;47 rue des martyrs;75009;Primeur;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/au-verger-fleuri;;abdelmajidkarouia@yahoo.fr;"{""coordinates"": [2.3401184043488383, 48.879981662293595], ""type"": ""Point""}";48.879981662293595, 2.3401184043488383
MONBLEU (ex Beau & Fort);37 rue du Faubourg Montmartre;75009;Fromagerie;non;Livraisons à domicile;Fromage;;https://www.epicery.com/epiceries/beau-et-fort;;fromageriemonbleu@gmail.com;"{""coordinates"": [2.342080606332182, 48.87416380114581], ""type"": ""Point""}";48.87416380114581, 2.342080606332182
Boucherie Louchebem Bio;85b boulevard de Magenta;75010;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Bio, Charcuterie;;https://www.epicery.com/epiceries/louchebem-bio;;maboucheriebio@gmail.com;"{""coordinates"": [2.3556278840395612, 48.876416355076806], ""type"": ""Point""}";48.876416355076806, 2.3556278840395612
Primeur Lepic;14 rue Lepic;75018;Primeur;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/primeur-lepic;;ben.fehmi@hotmail.fr;"{""coordinates"": [2.333758756665418, 48.884710131444486], ""type"": ""Point""}";48.884710131444486, 2.333758756665418
Poissonnerie Vent et Marée;100 Rue de Meaux;75019;Poissonnerie;non;Livraisons à domicile;Plateaux de fruits de mer;;https://www.epicery.com/epiceries/vent-et-maree;;contact@ventetmaree.fr;"{""coordinates"": [2.3803681118819005, 48.88506948093469], ""type"": ""Point""}";48.88506948093469, 2.3803681118819005
Le Roi du Saucisson;22 rue du Poteau;75018;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/roi-saucisson;;olives-salami@hotmail.fr;"{""coordinates"": [2.3424049969576615, 48.89364884831847], ""type"": ""Point""}";48.89364884831847, 2.3424049969576615
Le Primeur de Tolbiac;187 Rue de Tolbiac;75013;Primeur;non;Livraisons à domicile;Fruits;;https://www.epicery.com/epiceries/primeur-de-tolbiac;;oucinsoltan@gmail.com;"{""coordinates"": [2.351789429175086, 48.825790861028715], ""type"": ""Point""}";48.825790861028715, 2.351789429175086
La Ferme de Passy;39 rue de l'annonciation;75016;Fromagerie;non;Livraisons à domicile;Fromage;;https://www.epicery.com/epiceries/la-ferme-de-passy;;dahomichel@hotmail.fr,dahomorgan@msn.com;"{""coordinates"": [2.2782152135348888, 48.85729562036931], ""type"": ""Point""}";48.85729562036931, 2.2782152135348888
Maison Pos Mozart Bio;28 Avenue Mozart;75016;Épicerie fine;non;Livraisons à domicile;Bio;;https://www.epicery.com/epiceries/maison-pos-avenue-mozart;;dali00703@gmail.com;"{""coordinates"": [2.271538996368972, 48.85651013541039], ""type"": ""Point""}";48.85651013541039, 2.271538996368972
Prunier;16 Avenue Victor Hugo;75016;Épicerie fine;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/prunier;;delphine.lannoy@caviarhouse-prunier.com;"{""coordinates"": [2.2916967212868626, 48.87249871671673], ""type"": ""Point""}";48.87249871671673, 2.2916967212868626
Les 3B77;boulevard de Reuilly;75012;Primeur;non;Livraisons à domicile;"Primeur BIO sur les marchés. 
Fruits, légumes, pain, épicerie. 
Commandes en ligne toute les fins de semaine du vendredi midi au lundi midi.";;http://www.les3b77.fr/mercuriale;;contact@les3b77.fr;"{""coordinates"": [2.395145294171842, 48.839528509003976], ""type"": ""Point""}";48.839528509003976, 2.395145294171842
La Maison de la Poutine;82 avenue Parmentier;75011;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;La Maison de la Poutine propose toute l'année la délicieuse spécialité québécoise a base de frites de fromage en grain et d'une sauce secrète ! élue meilleure Poutine du monde en 2019 et 2020 !;;https://www.poutine.fr;01 47 00 30 39;maison@poutine.fr;"{""coordinates"": [2.3752155571873774, 48.86459934866558], ""type"": ""Point""}";48.86459934866558, 2.3752155571873774
Restaurant kigawa;186 rue du château;75014;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;cuisine française emporter ou livraison;;https://www.kigawa.fr;01 43 35 31 61;14kigawa@gmail.com;"{""coordinates"": [2.324298608906518, 48.833122663244], ""type"": ""Point""}";48.833122663244, 2.324298608906518
LA FABRIQUE GIVRÉE;26, rue Soufflot;75005;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;"La Fabrique Givrée c’est l’aventure d'amis d’enfance animés
d’une même passion pour le goût, l'artisanat et le terroir.";;https://www.lafabriquegivree.com;07 77 69 05 93;loic@lafabriquegivree.com;"{""coordinates"": [2.3413551567811473, 48.84738425986769], ""type"": ""Point""}";48.84738425986769, 2.3413551567811473
RUE RANGOLI;74 RUE DU CHERCHE MIDI;75006;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Offrez la magie de l'économie circulaire avec des créations uniques, originales au design recherché : déco, cadeaux, mobilier, papeterie,... qui racontent de belles histoires.;;https://www.rue-rangoli.com;07 71 70 14 22;contact@rue-rangoli.com;"{""coordinates"": [2.323776027080204, 48.848180156643366], ""type"": ""Point""}";48.848180156643366, 2.323776027080204
The Naked Shop;75 rue Oberkampf;75011;Cosmétique;non;Livraisons à domicile, Retrait de commandes en magasin;Boutique spécialisée en vrac liquide (produits d'entretien, shampoings, savons), vendus dans les flacons en verre consignés. Livraison à vélo avec reprise des flacons consignés.;;https://www.thenakedshop.fr;01 47 00 76 42;hello@thenakedshop.fr;"{""coordinates"": [2.374027967632606, 48.86500375408789], ""type"": ""Point""}";48.86500375408789, 2.374027967632606
Au village italien;50 boulevard du temple;75011;Épicerie fine;non;Retrait de commandes en magasin;;;;01 47 00 81 52;auvillageitalien@orange.fr;"{""coordinates"": [2.3652966932798063, 48.86599139393488], ""type"": ""Point""}";48.86599139393488, 2.3652966932798063
Pho Viet;115 boulevard de l'hopital;75013;Restaurant ou traiteur;non;Retrait de commandes en magasin;Cuisine vietnamienne authentique;;;01 83 06 26 87;phoviet13@gmail.com;"{""coordinates"": [2.359171792670636, 48.83595286752647], ""type"": ""Point""}";48.83595286752647, 2.359171792670636
Thai Street food SAS;5 rue d'Enghien;75010;Restaurant ou traiteur;non;Retrait de commandes en magasin;;;;;eirl.somnuek.royer@gmail.com;"{""coordinates"": [2.3529520828591814, 48.87162433102275], ""type"": ""Point""}";48.87162433102275, 2.3529520828591814
Naturalia;22 rue d'Aligre;75012;Autre;non;Livraisons à domicile;;;https://www.naturalia.fr/;01 43 40 03 14;aligre@naturalia.fr;"{""coordinates"": [2.3786626504819957, 48.84949837664003], ""type"": ""Point""}";48.84949837664003, 2.3786626504819957
Créations épicées;40 rue Damrémont;75018;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Julie vous accueille dans son atelier boutique où vous trouverez ses créations empruntes de voyage et d'évasion. Couleurs, artisanat et petites séries !;;http://www.creationsepicees.com;;contact@creationsepicees.com;"{""coordinates"": [2.33381717607274, 48.88955124621256], ""type"": ""Point""}";48.88955124621256, 2.33381717607274
Un Air de Famille;26 rue Chateau Landon;75010;Restaurant ou traiteur;non;Retrait de commandes en magasin;A deux pas du canal saint Martin, le restaurant d'Un Air de Famille propose une cuisine simple et réconfortante, préparée chaque jour: une entrée, un plat, un sandwich, un dessert... Passez nous voir!;;https://www.air-de-famille.fr/le-restaurant;01 42 05 01 24;contact@unairdefamille.org;"{""coordinates"": [2.36309325626633, 48.881704170074414], ""type"": ""Point""}";48.881704170074414, 2.36309325626633
Deux Fois 9;50 rue ramey;75018;Autre;non;Retrait de commandes en magasin;Tout l'univers de l'enfant à petits prix, larges sélections d'articles d'occasions parce que les enfants n'arrêtent pas de grandir et donner une seconde vie aux affaires des enfants c'est bien ...;;https://www.deuxfois9.fr/;01 71 24 81 38;stephanie@deuxfois9.fr;"{""coordinates"": [2.3457054225783196, 48.890419799040274], ""type"": ""Point""}";48.890419799040274, 2.3457054225783196
Librairie Monnier;55 rue de Rome;75008;Librairie;non;Livraisons à domicile;"Librairie musicale spécialisée dans les ouvrages consacrés à la musique.
Vous y découvrirez plus de 4000 ouvrages sur et autour de la musique.
Actuellement, la livraison est GRATUITE !";;https://www.librairiemonnier.com;;info@librairiemonnier.com;"{""coordinates"": [2.3218715173132813, 48.87915958125011], ""type"": ""Point""}";48.87915958125011, 2.3218715173132813
LIBRAIRIE LE POINT;193 RUE DE BERCY;75012;Librairie;non;Retrait de commandes en magasin;"Librairie papeterie presse de 360m2 au pied de la gare de Lyon 
Plus de 18.000 titres en librairie et plus de 2.500 magazines en stock";;https://www.parislibrairies.fr/librairie-5509/paris/Le-Point/;01 43 45 48 43;librairie-lepoint@orange.fr;"{""coordinates"": [2.372798368434419, 48.84387594370465], ""type"": ""Point""}";48.84387594370465, 2.372798368434419
icone;110 rue Lamarck;75018;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Prêt-à-porter mixte et déco au style nordique : Minimum, Knowledge Cotton Apparel, Nümph, Armedangels, Colorful Standard, Rains...;;https://www.trouva.com/boutiques/icone-in-75018;;contact@icone-stylenordique.fr;"{""coordinates"": [2.335071084400514, 48.89051358282749], ""type"": ""Point""}";48.89051358282749, 2.335071084400514
Boutique Megacom-ik;13 Bd Saint-Marcel;75013;Librairie;non;Retrait de commandes en magasin;La Boutique Megacom-ik est un lieu atypique depuis 9 ans. Livre d'occasion et vend des drapeaux du monde entier.;;https//www.megacomik.fr;09 53 92 53 17;philmarso@yahoo.fr;"{""coordinates"": [2.3599486664599345, 48.8391566451567], ""type"": ""Point""}";48.8391566451567, 2.3599486664599345
Le Zingam;51 rue de la fontaine au roi;75011;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;"Pour proposer une sélection diversifiée de fruits et légumes de saison, de charcuteries,
de fromages, de vins et produits d’épicerie salée et sucrée, le Zingam a sillonné la campagne française!";;https://lezingam.com/;;contact@lezingam.com;"{""coordinates"": [2.3734766137718153, 48.86816571250744], ""type"": ""Point""}";48.86816571250744, 2.3734766137718153
LE PETIT VATEL;5 RUE LOBINEAU;75006;Restaurant ou traiteur;non;Retrait de commandes en magasin;"Le Petit Vatel, restaurant familial: la cuisine est mijotée avec des produits frais du marché. C'est la cuisine de la ""Casa"", fait avec Amour. Passez commande et prenez plaisir";;;06 74 29 12 68;molerodelgadom@gmail.com;"{""coordinates"": [2.336517993331322, 48.85168172833721], ""type"": ""Point""}";48.85168172833721, 2.336517993331322
Taokan saint germain;8 rue du sabot;75006;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Cuisine chinoise gastronomique contemporaine proposant un large choix de plats fait maison soigneusement préparés par nos soins. 
Notre carte sur www.Taokan.fr";;http://www.taokan.fr;01 42 84 18 36;Stgermain.taokan@gmail.com;"{""coordinates"": [2.3314656935294154, 48.85266360035703], ""type"": ""Point""}";48.85266360035703, 2.3314656935294154
Un livre et une tasse de thé;36 rue René Boulanger;75010;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;Nous sommes deux jeunes nouvelles libraires dans le le 10ème arrondissement, notre offre est généraliste, avec un fort rayon jeunesse et féminismes.;;https://www.librairie-republique.fr/;01 73 74 11 40;unlivreunetassedethe@gmail.com;"{""coordinates"": [2.3613089521232586, 48.86841938515863], ""type"": ""Point""}";48.86841938515863, 2.3613089521232586
un monde gourmand;18 RUE POISONNIERE;75002;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;ENTREPRISE D INSERTION AVEC UNE FORTE DIMENSION SOCIALE D ACCOMPAGNEMENT ET DE FORMATION AUX METIERS DE LA RESTAURATION,AVEC DES REPAS EQUILIBRE BON ET SAIN ,CUISINE DU JOUR AUX INFLUENCES DU MONDE;;traiteur@mondegourmand.com;06 09 22 56 39;annemarieteillou@gmail.com;"{""coordinates"": [2.347865802919227, 48.8693080329612], ""type"": ""Point""}";48.8693080329612, 2.347865802919227
Atelier Garcin Joubert;244 rue de Charenton;75012;Autre;oui;Livraisons à domicile;"Fabrication d'articles en cuir. Sur mesure, sur commande, et créations. Pièces uniques et petites séries
Principalement couture main";;http://www.ateliergarcinjoubert.com;06 74 15 97 37;contact@ateliergarcinjoubert.com;"{""coordinates"": [2.3900245225034253, 48.838162491289324], ""type"": ""Point""}";48.838162491289324, 2.3900245225034253
LES CASSE-DALLES DE SISSI;26 rue de la Montagne Ste-Geneviève;75005;Restaurant ou traiteur;non;Retrait de commandes en magasin;"Nous privilégions les produits régionaux de qualités, les circuits courts et les produits bio.
Sissi est dans sa cuisine ouverte et vous accueillera avec grand plaisir et générosité !
A bientôt !";Sandwicherie-Burger-Plats cuisinés Français;;06 98 67 44 33;sgdm2507@hotmail.fr;"{""coordinates"": [2.348421107216271, 48.84830064758949], ""type"": ""Point""}";48.84830064758949, 2.348421107216271
CONFITURE PARISIENNE;17 avenue daumesnil;75012;Épicerie fine;non;Livraisons à domicile, Retrait de commandes en magasin;"Fabrication et vente de confitures ""gastronomiques"" sur place.";;https://www.confiture-parisienne.com;01 44 68 28 81;bonjour@confiture-parisienne.com;"{""coordinates"": [2.373265107449373, 48.84849043973956], ""type"": ""Point""}";48.84849043973956, 2.373265107449373
Vila resl;10 Rue de Domrémy;75013;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Un délicieux repas frais et fait maison 
Cuisine traditionnelle franco portugaise
Menu à partir de 13€";;;01 45 83 54 22;goncalves.stephanie@hotmail.fr;"{""coordinates"": [2.373565622477921, 48.83069580658965], ""type"": ""Point""}";48.83069580658965, 2.373565622477921
Cinnamon garden;25 rue du docteur heulin;75017;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;;Restaurant burger indien;https://www.canellecafe.fr;06 25 91 15 71;Ccanellecc@gmail.com;"{""coordinates"": [2.3235506662766987, 48.89038491447518], ""type"": ""Point""}";48.89038491447518, 2.3235506662766987
Ma Toute Petite Boutique;3  rue de la Voûte;75012;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;MaToutePetiteBoutique est un concept store de cadeaux originaux et créateurs français dédié à toute la famille, petits et grands. On y découvre un univers 100% cadeaux, dans une large gamme de prix.;Concept store cadeaux;https://matoutepetiteboutique.com;06 16 85 84 77;myriam@matoutepetiteboutique.com;"{""coordinates"": [2.4061664589248415, 48.845034067869015], ""type"": ""Point""}";48.845034067869015, 2.4061664589248415
Noisette;4 rue Crozatier;75012;Restaurant ou traiteur;non;Retrait de commandes en magasin;Petit restaurant de quartier proposant une carte carte de produits de petits producteurs, des fruits et des légumes bio ou issus de l’agriculture paysanne, uniquement de saison et bien travaillés.;;https://www.restaurantnoisette.fr;01 43 46 61 45;restaurantnoisette@gmail.com;"{""coordinates"": [2.3830337918170343, 48.84536777469589], ""type"": ""Point""}";48.84536777469589, 2.3830337918170343
After 8 Books;7 rue Jarry;75010;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;After 8 Books s’engage aux côtés des artistes, théoricien.ne.s, designers graphiques et auteur.e.x.s actif.ve.s  dans l’édition contemporaine et les arts visuels;;https://www.after8books.com;06 74 23 90 18;books@after8books.com;"{""coordinates"": [2.3559106880797773, 48.87397139519626], ""type"": ""Point""}";48.87397139519626, 2.3559106880797773
JADIS ET GOURMANDE;56 rue St Placide;75006;Chocolaterie - Pâtisserie;non;Livraisons à domicile, Retrait de commandes en magasin;Chocolats haut de gamme - spécialité de Noël - personnalisation sur place ou en ligne - vente en ligne - clic & collect.;CHOCOLATERIE;https://www.jadisetgourmande.fr;01 42 22 05 14;sp@jadisetgourmande.fr;"{""coordinates"": [2.326228980997447, 48.84747302508541], ""type"": ""Point""}";48.84747302508541, 2.326228980997447
MADO A PARIS;252 rue de Rivoli;75001;Restaurant ou traiteur;non;Retrait de commandes en magasin;Spécialiste de la madeleine (Mado, la Meilleure Madeleine de Paris), nous proposons également une carte snacking à emporter. Ticket Moyen :  17 euros. Du club Sandwich saumon au poke bowl thon;;https://www.madoaparis.com;07 65 65 15 15;mado@madoaparis.com;"{""coordinates"": [2.3244281426663433, 48.866381477783214], ""type"": ""Point""}";48.866381477783214, 2.3244281426663433
La Maison de Commerce;2 rue de Luynes;75007;Artisanat d'art;non;Livraisons à domicile, Retrait de commandes en magasin;La Maison de Commerce est une galerie-magasin dédiée au bel utile issu des meilleurs savoir-faire de France et d'Europe. Ici, chaque objet est fait-main, est donc unique.;;http://www.lamaisondecommerce.com;01 43 21 04 64;info@lamaisondecommerce.com;"{""coordinates"": [2.326609654996702, 48.8554409913928], ""type"": ""Point""}";48.8554409913928, 2.326609654996702
image-restoration.fr;12 rue des cinq diamants;75013;Artisanat d'art;non;Livraisons à domicile, Retrait de commandes en magasin;"Atelier de photographie numérique : 
- numérisations, reproductions et restaurations de photos de famille, de collection
- tirages professionnels de photos sur Epson Ultrachrome et papiers fine art";;http://www.image-restoration.fr;06 28 05 78 03;contact@image-restoration.fr;"{""coordinates"": [2.3514651417729864, 48.829446057046994], ""type"": ""Point""}";48.829446057046994, 2.3514651417729864
Ciore cuisine napolitaine - pizzeria - épicerie;6, RUE MALHER;75004;Épicerie fine;non;Livraisons à domicile, Retrait de commandes en magasin;Ciore déniche et sélectionne pour vous le meilleur de la gastronomie italienne pour vous proposer une expérience originale de nos traditions culinaires. Livraison par ubereats et justeat;;http://www.ciore-epicerie-paris.com;01 74 64 20 30;sce.nu@yahoo.com;"{""coordinates"": [2.361327702615939, 48.855750747963995], ""type"": ""Point""}";48.855750747963995, 2.361327702615939
RESTAURANT TI CASE CREOLE;115 RUE DIDOT;75014;Restaurant ou traiteur;non;Retrait de commandes en magasin;Restaurant de spécialité créole antillais vous propose sa carte a emporter et le click and collect avec 15% sur la carte de remise;;http://www.ticasecreole.com;06 19 32 84 23;ti.case.creole.paris@gmail.com;"{""coordinates"": [2.3153943040677754, 48.827814209144705], ""type"": ""Point""}";48.827814209144705, 2.3153943040677754
CHAO PRAYA;20 rue de la Verrerie;75004;Restaurant ou traiteur;non;Retrait de commandes en magasin;"Au coeur du Marais, près du BHV, nous vous proposons des plats à emporter aux saveurs exotiques. 
Nos spécialités : Pad thaï, Curry vert, Loc Lac, Bo Bun ...";;http://chao-praya.eatbu.com;06 87 43 65 38;renee.k@hotmail.fr;"{""coordinates"": [2.354788886872331, 48.8573563891874], ""type"": ""Point""}";48.8573563891874, 2.354788886872331
La Cave du Cherche-Midi;29 rue Saint-Placide;75006;Caviste - Brasserie;non;Livraisons à domicile, Retrait de commandes en magasin;Caviste (Vins, Champagne, Bières, Spiritueux);;https://lacavedusenat.com/fr/la-cave-du-cherche-midi-paris;01 73 75 80 41;lacaveducherchemidi@duvaletblanchet.com;"{""coordinates"": [2.3256110157219867, 48.848893659997444], ""type"": ""Point""}";48.848893659997444, 2.3256110157219867
Bertille Blondon;14 rue Clauzel;75009;Artisanat d'art;non;Livraisons à domicile, Retrait de commandes en magasin;Bertille Blondon est un marque de bijoux de caractère en métaux précieux. Entièrement fabriqués à la main dans l'arrière boutique, grâce aux savoir-faire qui lui ont été transmis à l'École Boulle.;;http://www.bertilleblondon.bigcartel.com;07 81 30 10 82;bertille.blondon@gmail.com;"{""coordinates"": [2.338432815343934, 48.87920114213085], ""type"": ""Point""}";48.87920114213085, 2.338432815343934
